X Y Z
54.9351238 36.9414615 0
54.8981549 36.9963781 0
54.861131 37.0512578 0
54.8240524 37.1061004 0
54.7869189 37.1609058 0
54.7497306 37.2156742 0
54.7124875 37.2704053 0
54.6751898 37.3250991 0
54.6378373 37.3797556 0
54.6004303 37.4343748 0
54.5629686 37.4889565 0
54.5254524 37.5435007 0
54.4878816 37.5980074 0
54.4502564 37.6524764 0
54.4125767 37.7069079 0
54.3748426 37.7613016 0
54.3370541 37.8156575 0
54.2992113 37.8699757 0
54.2613141 37.9242559 0
54.2233628 37.9784983 0
54.1853572 38.0327026 0
54.1472974 38.086869 0
54.1091834 38.1409972 0
54.0710154 38.1950873 0
54.0327933 38.2491392 0
53.9945171 38.3031529 0
53.956187 38.3571283 0
53.9178029 38.4110653 0
53.8793649 38.4649638 0
53.840873 38.518824 0
53.8023272 38.5726456 0
53.7637277 38.6264286 0
53.7250744 38.680173 0
53.6863673 38.7338787 0
53.6476066 38.7875457 0
53.6087923 38.8411739 0
53.5699243 38.8947633 0
53.5310028 38.9483138 0
53.4920277 39.0018253 0
53.4529991 39.0552978 0
53.4139171 39.1087313 0
53.3747817 39.1621256 0
53.3355929 39.2154808 0
53.2963507 39.2687968 0
53.2570553 39.3220735 0
53.2177066 39.3753109 0
53.1783047 39.4285089 0
53.1388496 39.4816675 0
53.0993413 39.5347866 0
53.05978 39.5878661 0
53.0201656 39.6409061 0
52.9804982 39.6939064 0
52.9407778 39.7468671 0
52.9010045 39.799788 0
52.8611783 39.8526691 0
52.8212992 39.9055103 0
52.7813673 39.9583117 0
52.7413826 40.011073 0
52.7013451 40.0637944 0
52.661255 40.1164757 0
52.6211122 40.1691169 0
52.5809168 40.2217179 0
52.5406688 40.2742787 0
52.5003682 40.3267992 0
52.4600152 40.3792794 0
52.4196097 40.4317193 0
52.3791518 40.4841186 0
52.3386415 40.5364775 0
52.2980788 40.5887959 0
52.2574639 40.6410737 0
52.2167967 40.6933108 0
52.1760773 40.7455073 0
52.1353057 40.7976629 0
52.094482 40.8497778 0
52.0536061 40.9018519 0
52.0126783 40.953885 0
51.9716984 41.0058772 0
51.9306665 41.0578284 0
51.8895827 41.1097386 0
51.8484471 41.1616076 0
51.8072595 41.2134354 0
51.7660202 41.2652221 0
51.7247291 41.3169675 0
51.6833863 41.3686715 0
51.6419918 41.4203342 0
51.6005456 41.4719555 0
51.5590479 41.5235353 0
51.5174986 41.5750736 0
51.4758977 41.6265703 0
51.4342454 41.6780253 0
51.3925417 41.7294387 0
51.3507866 41.7808104 0
51.3089801 41.8321403 0
51.2671223 41.8834283 0
51.2252133 41.9346745 0
51.183253 41.9858788 0
51.1412415 42.037041 0
51.0991789 42.0881612 0
51.0570652 42.1392393 0
51.0149004 42.1902753 0
50.9726847 42.2412691 0
50.9304179 42.2922207 0
50.8881002 42.3431299 0
50.8457317 42.3939969 0
50.8033123 42.4448214 0
50.7608421 42.4956035 0
50.7183211 42.5463431 0
50.6757494 42.5970401 0
50.633127 42.6476945 0
50.590454 42.6983063 0
50.5477304 42.7488754 0
50.5049563 42.7994018 0
50.4621316 42.8498853 0
50.4192565 42.900326 0
50.376331 42.9507238 0
50.3333551 43.0010787 0
50.2903288 43.0513905 0
50.2472523 43.1016593 0
50.2041255 43.151885 0
50.1609486 43.2020676 0
50.1177214 43.2522069 0
50.0744442 43.302303 0
50.0311168 43.3523558 0
49.9877395 43.4023652 0
49.9443121 43.4523312 0
49.9008348 43.5022538 0
49.8573076 43.5521329 0
49.8137306 43.6019684 0
49.7701037 43.6517603 0
49.7264271 43.7015086 0
49.6827007 43.7512132 0
49.6389246 43.800874 0
49.595099 43.850491 0
49.5512237 43.9000642 0
49.5072988 43.9495934 0
49.4633245 43.9990787 0
49.4193007 44.0485201 0
49.3752275 44.0979173 0
49.3311049 44.1472705 0
49.286933 44.1965795 0
49.2427117 44.2458443 0
49.1984413 44.2950649 0
49.1541216 44.3442412 0
49.1097528 44.3933732 0
49.0653349 44.4424607 0
49.0208679 44.4915038 0
48.9763519 44.5405024 0
48.9317869 44.5894565 0
